,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
71,173333.2562707801,41333.31503908266,,,,74222.18925512425,8444.440595667402,1162221.7057265516,326222.07720578444,16888.88141870848,1751999.2212555734,31111.097200664517,
72,243111.0029874617,42222.20343308436,,,,80444.40869525715,7999.996455509972,555999.7529189787,230222.1198533516,15111.10440333141,611999.7279938615,32444.42996219732,
73,205333.24209282,42222.20343308436,,,,119555.50246511848,7999.996341823135,535555.3174695161,292444.3144820543,16444.437051177374,823555.1895268145,32888.874216041586,
74,215555.45970386447,88444.40515076712,,,,71999.96798590291,8444.44070935424,627555.2766510373,268444.3251155244,17777.769926397013,740444.1153084917,31555.541568195622,
75,188444.36067411152,43999.98044846143,,,,76444.41052434559,8888.884963198507,562221.9723591115,362222.06131242274,18666.658434085548,1568443.747260062,32444.430075884156,
76,236444.33929348452,45333.31320999423,,,,75999.96615681448,8444.440595667402,576444.1882547544,263555.4384369243,15555.548657175677,703999.6870616961,32444.430075884156,
77,195555.46862193296,45777.7574638385,,,,73333.30074743571,10222.21761104447,605777.5085537287,322222.0790348729,19111.102574242977,897332.9345280945,68888.85832267988,
78,236888.78366101562,46222.201717682765,,,,75111.07764912595,8444.44070935424,602221.9545229746,315110.97108705144,17777.769926397013,1120888.3908011557,32888.87432972842,
79,178222.14306306705,45777.75735015166,,,,79555.52018756862,8444.44070935424,616444.1704186174,358222.06302782433,18666.65832039871,1038666.2050905216,32444.430075884156,
80,264444.326830926,48888.86724074837,,,,73333.30074743571,7999.996341823135,641333.0482928359,227999.89869781712,15999.992797333107,641777.4925466802,52888.865411659935,
81,231555.45261488442,49777.755634750065,,,,75999.96627050132,8444.440595667402,641333.0482928359,291555.4259743658,26666.654775908682,1461332.683902583,47999.978619372996,
82,241333.22608577146,47999.978733059834,,,,82222.18559694738,8888.884963198507,660444.1508670789,268888.7693693687,19111.102574242977,799110.7559064403,35999.98399295146,
83,223555.45615937444,49777.755634750065,,,,76888.85477818985,25777.766381906986,664444.1491516773,331999.8525057599,30222.208692975983,978666.2317310402,42666.64768692863,
84,306222.08612385293,48888.86712706153,,,,79555.52018756862,9777.773470887041,1047999.5343075644,329333.1868690075,16444.43716486421,808888.5293773273,36444.428246795724,
85,209777.68451757584,48888.86712706153,,,,83999.96272601129,8888.884849511669,695555.2464660286,317777.6364964302,17777.769812710176,974666.2335601286,38222.205148485955,
86,226666.5659362843,50666.6441424386,,,,78666.63167988008,10222.217724731308,702666.35441385,397333.1566839988,17333.325672552746,880888.4973632302,36888.87250063999,
